Action ID,Action Name,Action Definition,Action Source,MitigationCode
A0031_Casper2025,Independent third-party risk assessments,"Developers can be required to have an independent third-party conduct and produce a report (including access, methods, and findings) on risk assessments of frontier systems (Raji et al., 2022; Anderljung et al., 2023; Casper et al., 2024). They can also be required to document if and what “safe harbor” policies they have to facilitate independent evaluation and red-teaming (Longpre et al., 2024).",Casper2025,1.2 Risk Management
A0032_Casper2025,Internal risk assessments,Developers can be required to conduct and report on internal risk assessments of frontier systems.,Casper2025,1.2 Risk Management
A0075_Eisenberg2025,Establish AI legal compliance process,"Evaluate and document how the AI system complies with relevant regulations and standards, identifying use case-specific legal risks and required controls. Apply the organization’s legal compliance framework to ensure appropriate safeguards are in place, with clear documentation of compliance assessments and risk mitigations.",Eisenberg2025,1.2 Risk Management
A0079_Eisenberg2025,Establish AI Risk Management System,"Implement a comprehensive AI risk management system including risk assessment processes, monitoring frameworks, governance structures, and response procedures.",Eisenberg2025,1.2 Risk Management
A0084_Future of Life Institute2024,Adopted Risk Management Frameworks,"Does your firm implement any of the following risk management approaches?

ISO 31000
NIST AI Risk Management Framework
The 3 Lines of Defense Model (3LOD)",Future of Life Institute2024,1.2 Risk Management
A0103_Future of Life Institute2024,Comprehensive pre-training risk assessments,"Does your firm conduct comprehensive pre-training risk assessments? Such assessments should include forecasting (dangerous) capabilities and developing a model-specific risk taxonomy that includes reasonably foreseeable impacts on individuals, groups, organizations, and society. The taxonomy should include misuse cases and scenarios where malicious actors steal the model.",Future of Life Institute2024,1.2 Risk Management
A0119_Future of Life Institute2024,Implementation of cybersecurity frameworks,AGI labs should comply with information security standards (e.g. ISO/IEC 27001 or NIST Cybersecurity Framework). These standards need to be tailored to an AGI context.,Future of Life Institute2024,1.2 Risk Management
A0120_Future of Life Institute2024,Independent Delphi Risk Assessments,Is your organization collaborating with independent experts to conduct full Delphi processes to more accurately assess the risks associated with large development or deployment decisions?,Future of Life Institute2024,1.2 Risk Management
A0132_Future of Life Institute2024,Ongoing model risk assessments,"Is your organization committed to regularly repeating risk assessments for its most capable models to account for progress in post-deployment model enhancements (e.g., scaffolding programs, tool use, prompt engineering)? If yes, please comment on the frequency and scope of these repeated model-specific risk assessments.",Future of Life Institute2024,1.2 Risk Management
A0139_Future of Life Institute2024,Pre-development risk assessments,Any information related to risk assessments and forecasts of dangerous capabilities conducted before large models are trained.,Future of Life Institute2024,1.2 Risk Management
A0140_Future of Life Institute2024,Pre-specified risk tolerance,"Does the firm pre-specify its risk tolerance as part of its risk management approach to prevent unacceptable risks? If your firm sets any quantitative risk thresholds, please describe them here.",Future of Life Institute2024,1.2 Risk Management
A0181_Schuett2023,Enterprise risk management,AGI labs should implement an enterprise risk management (ERM) framework (e.g. the NIST AI Risk Management Framework or ISO 31000). This framework should be tailored to an AGI context and primarily focus on the lab’s impact on society.,Schuett2023,1.2 Risk Management
A0186_Schuett2023,Internal review before publications,"Before publishing research, AGI labs should conduct an internal review to assess potential harms.",Schuett2023,1.2 Risk Management
A0197_Schuett2023,Pre-deployment risk assessment,"AGI labs should take extensive measures to identify, analyze, and evaluate risks from powerful models before deploying them.",Schuett2023,1.2 Risk Management
A0198_Schuett2023,Pre-training risk assessment,AGI labs should conduct a risk assessment before training powerful models.,Schuett2023,1.2 Risk Management
A0253_Wiener2024,Developers “shall consider” guidance from US AISI and NIST and other reputable standard-setting organizations,,Wiener2024,1.2 Risk Management
A0258_Wiener2024,Yearly re-evaluation of safety procedures,,Wiener2024,1.2 Risk Management
A0265_EU AI Office2025,Systemic Risk Analysis ,"Signatories commit to carrying out a rigorous analysis of the systemic risks identified in order to understand the severity and probability of the systemic risks. Signatories commit to making use of a range of information and methods in their systemic risk analysis including model-independent information and state-of-the-art model evaluations, taking into account model affordances, safe originator models, and the context in which the model may be made available on the market and/or used and its effects",EU AI Office2025,1.2 Risk Management
A0266_EU AI Office2025,Systemic risk assessment and mitigations,"Signatories commit to conducting systemic risk assessment at appropriate points along the entire model lifecycle, in particular before making the model available on the market. Specifically, signatories commit to starting to assess and mitigate systemic risks during the development of a GPAISR. ",EU AI Office2025,1.2 Risk Management
A0272_EU AI Office2025,Systemic Risk Acceptance Documentation,"Signatories commit to determining the acceptability of the systemic risks stemming from their GPAISRs by comparing the results of their systemic risk analysis to their pre-defined systemic risk acceptance criteria, in order to ensure proportionality between the systemic risks of the GPAISR and their mitigations. ",EU AI Office2025,1.2 Risk Management
A0274_EU AI Office2025,Adequacy Assessments,Signatories commit to assessing the adequacy of their safety and security framework and to updating it based on new findings,EU AI Office2025,1.2 Risk Management
A0276_Campos2025,Classification of applicable known risks,"Developers should address known risks in the literature using resources such as (Weidinger et al., 2022) or the AI Risk Repository (Slattery, et al., 2024). Developers should only exclude risks from the scope of their assessment in case of scientific agreement that the specific risk is negligible or unlikely to apply to the AI model under consideration. This decision should be clearly justified and documented.",Campos2025,1.2 Risk Management
A0283_Campos2025,Risk Register,"Throughout the risk management process, developers should maintain a continuously up-to-date risk register, which serves as the central repository for documenting and tracking all identified risks and their associated mitigation measures. This repository should include information like ownership, risk levels, indicators, mitigation status, and actionable response plans.",Campos2025,1.2 Risk Management
A0335_Campos2025,Enterprise Risk Management Function,"To provide support to the Chief Risk Officer, it is common in many industries to have a central risk function... In most industries, this function is known as Enterprise Risk Management (ERM).",Campos2025,1.2 Risk Management
A0391_NIST2024,Risk Tier Definition,"Consider the following factors when updating or defining risk tiers for GAI: Abuses and impacts to information integrity; Dependencies between GAI and other IT or data systems; Harm to fundamental rights or public safety; Presentation of obscene, objectionable, offensive, discriminatory, invalid or untruthful output; Psychological impacts to humans (e.g., anthropomorphization, algorithmic aversion, emotional entanglement); Possibility for malicious use; Whether the system introduces significant new security vulnerabilities; Anticipated system impact on some groups compared to others; Unreliable decision making capabilities, validity, adaptability, and variability of GAI system performance over time.",NIST2024,1.2 Risk Management
A0395_NIST2024,Risk Hierarchy Maintenance ,"Maintain an updated hierarchy of identified and expected GAI risks connected to contexts of GAI model advancement and use, potentially including specialized risk levels for GAI systems that address issues such as model collapse and algorithmic monoculture.",NIST2024,1.2 Risk Management
A0396_NIST2024,Risk Tolerance Reassessment,"Reevaluate organizational risk tolerances to account for unacceptable negative risk (such as where significant negative impacts are imminent, severe harms are actually occurring, or large-scale risks could occur); and broad GAI negative risks, including: Immature safety or risk cultures related to AI and GAI design, development and deployment, public information integrity risks, including impacts on democratic processes, unknown long-term performance characteristics of GAI.",NIST2024,1.2 Risk Management
A0403_NIST2024,System Inventory Enumeration,Enumerate organizational GAI systems for incorporation into AI system inventory and adjust AI system inventory requirements to account for GAI risks.,NIST2024,1.2 Risk Management
A0404_NIST2024,Inventory Exemption Definition,Define any inventory exemptions in organizational policies for GAI systems embedded into application software.,NIST2024,1.2 Risk Management
A0418_NIST2024,Risk Measurement Improvement,"Establish policies and procedures that address continual improvement processes for GAI risk measurement. Address general risks associated with a lack of explainability and transparency in GAI systems by using ample documentation and techniques such as: application of gradient-based attributions, occlusion/term reduction, counterfactual prompts and prompt engineering, and analysis of embeddings; Assess and update risk measurement approaches at regular cadences",NIST2024,1.2 Risk Management
A0431_NIST2024,	Supplier Risk Assessment,Implement a use-cased based supplier risk assessment framework to evaluate and monitor third-party entities' performance and adherence to content provenance standards and technologies to detect anomalies and unauthorized changes; services acquisition and value chain risk management; and legal compliance.,NIST2024,1.2 Risk Management
A0435_NIST2024,Due Diligence Process Update,"Update and integrate due diligence processes for GAI acquisition and procurement vendor assessments to include intellectual property, data privacy, security, and other risks. For example, update processes to: Address solutions that may rely on embedded GAI technologies; Address ongoing monitoring, assessments, and alerting, dynamic risk assessments, and real-time reporting tools for monitoring third-party GAI risks; Consider policy adjustments across GAI modeling libraries, tools and APIs, fine-tuned models, and embedded tools; Assess GAI vendors, open-source or proprietary GAI tools, or GAI service providers against incident or vulnerability databases.",NIST2024,1.2 Risk Management
A0446_NIST2024,Risk Measurement Planning,"Document risk measurement plans to address identified risks. Plans may include, as applicable: Individual and group cognitive biases (e.g., confirmation bias, funding bias, groupthink) for AI Actors involved in the design, implementation, and use of GAI systems; Known past GAI system incidents and failure modes; In-context use and foreseeable misuse, abuse, and off-label use; Over reliance on quantitative metrics and methodologies without sufficient awareness of their limitations in the context(s) of use; Standard measurement and structured human feedback approaches; Anticipated human-AI configurations.",NIST2024,1.2 Risk Management
A0467_NIST2024,Governance Connection,"Connect new GAI policies, procedures, and processes to existing model, data, software development, and IT governance and to legal, compliance, and risk management activities.",NIST2024,1.2 Risk Management
A0478_NIST2024,Risk-Based Feedback Prioritization,Prioritize GAI structured public feedback processes based on risk assessment estimates.,NIST2024,1.2 Risk Management
A0491_NIST2024,Unmeasurable Risk Tracking,"Track and document risks or opportunities related to all GAI risks that cannot be measured quantitatively, including explanations as to why some risks cannot be measured (e.g., due to technological limitations, resource constraints, or trustworthy considerations). Include unmeasured risks in marginal risks.",NIST2024,1.2 Risk Management
A0624_Barrett2024,Risk Ownership by Capability,"Take responsibility for risk assessment and risk management tasks for which your organization has access to information, capability, or opportunity to develop capability sufficient for constructive action, or that is substantially greater than others in the value chain 
",Barrett2024,1.2 Risk Management
A0625_Barrett2024,Risk-Tolerance Thresholds,Set risk-tolerance thresholds to prevent unacceptable risks,Barrett2024,1.2 Risk Management
A0627_Barrett2024,Assess Catastrophic Risk,"Identify whether a GPAIS could lead to significant, severe, or catastrophic impacts,
e.g., because of correlated failures or errors across high-stakes deployment domains, dan-
gerous emergent behaviors or vulnerabilities, or harmful misuses and abuses
",Barrett2024,1.2 Risk Management
A0633_Barrett2024,Ensure Legal Compliance,"Legal and regulatory
requirements involving
AI are understood,
managed, and
documented.",Barrett2024,1.2 Risk Management
A0635_Barrett2024,Align Risk Management to Tolerance,"Processes, procedures,
and practices are in
place to determine
the needed level of
risk management
activities based on
the organization’s risk
tolerance.",Barrett2024,1.2 Risk Management
A0637_Barrett2024,Monitoring of RM policies,"Ongoing monitoring
and periodic review of
the risk management
process and its
outcomes are planned
and organizational roles
and responsibilities
clearly defined,
including determining
the frequency of
periodic review.",Barrett2024,1.2 Risk Management
A0638_Barrett2024,Inventory AI Systems,"Mechanisms are in
place to inventory
AI systems and are
resourced according
to organizational risk
priorities.",Barrett2024,1.2 Risk Management
A0640_Barrett2024,Define AI Risk Roles,"Roles and
responsibilities and
lines of communication
related to mapping,
measuring, and
managing AI risks are
documented and are
clear to individuals and
teams throughout the
organization.",Barrett2024,1.2 Risk Management
A0641_Barrett2024,Train on AI Risk,"The organization’s
personnel and
partners receive AI risk
management training
to enable them to
perform their duties
and responsibilities
consistent with related
policies, procedures,
and agreements",Barrett2024,1.2 Risk Management
A0643_Barrett2024,Diverse Risk Voices,"Decision-making related
to mapping, measuring,
and managing AI risks
throughout the lifecycle
is informed by a diverse
team (e.g., diversity
of demographics,
disciplines, experience,
expertise, and
backgrounds).",Barrett2024,1.2 Risk Management
A0649_Barrett2024,External Feedback on System Design,"Mechanisms are
established to enable
the team that developed
or deployed AI systems
to regularly incorporate
adjudicated feedback
from relevant AI actors
into system design and
implementation.",Barrett2024,1.2 Risk Management
A0656_Barrett2024,Risk Tolerance Thresholds,"Organizational
risk tolerances are
determined and
documented.",Barrett2024,1.2 Risk Management
A0657_Barrett2024,Elicit Requirements & Assess Impacts,"System requirements
(e.g., “the system shall
respect the privacy of
its users”) are elicited
from and understood
by relevant AI actors.
Design decisions
take socio-technical
implications into account
to address AI risks",Barrett2024,1.2 Risk Management
A0662_Barrett2024,Document AI Error Costs,"Potential costs, in-
cluding non-monetary
costs, which result from
expected or realized AI
errors or system func-
tionality and trustwor-
thiness – as connected
to organizational risk
tolerance – are exam-
ined and documented.",Barrett2024,1.2 Risk Management
A0664_Barrett2024,Document Operator Proficiency,"Processes for operator
and practitioner
proficiency with AI
system performance
and trustworthiness
– and relevant
technical standards
and certifications – are
defined, assessed, and
documented.",Barrett2024,1.2 Risk Management
A0666_Barrett2024,Document AI RM Third Party Framework,"Approaches for mapping
AI technology and legal
risks of its components
– including the use
of third-party data or
software – are in place,
followed, and docu-
mented, as are risks of
infringement of a third
party’s intellectual prop-
erty or other rights.",Barrett2024,1.2 Risk Management
A0667_Barrett2024,Document Internal & Third-Party Controls,"Internal risk controls for
components of the AI
system, including third-
party AI technologies,
are identified and
documented.",Barrett2024,1.2 Risk Management
A0668_Barrett2024,Assess & Document Risk Magnitude	,"Likelihood and
magnitude of each
identified impact (both
potentially beneficial
and harmful) based on
expected use, past uses
of AI systems in similar
contexts, public incident
reports, feedback from
those external to the
team that developed
or deployed the AI
system, or other data
are identified and
documented.",Barrett2024,1.2 Risk Management
A0669_Barrett2024,Establish Feedback Integration Processes,"Practices and personnel
for supporting regular
engagement with
relevant AI actors and
integrating feedback
about positive, negative,
and unanticipated
impacts are in place and
documented.",Barrett2024,1.2 Risk Management
A0670_Barrett2024,Select & Document Risk Metrics,"Approaches and metrics
for measurement of
AI risks enumerated
during the Map
function are selected
for implementation
starting with the most
significant AI risks. The
risks or trustworthiness
characteristics that will
not – or cannot – be
measured are properly
documented.",Barrett2024,1.2 Risk Management
A0671_Barrett2024,Evaluate Risk Metrics & Controls,"Appropriateness
of AI metrics and
effectiveness
of existing controls are
regularly assessed and
updated, including
reports of errors and
potential impacts on
affected communities.",Barrett2024,1.2 Risk Management
A0681_Barrett2024,Examine & Document Privacy Risk,"Privacy risk of the AI
system – as identified
in the Map function
– is examined and
documented.",Barrett2024,1.2 Risk Management
A0682_Barrett2024,Evaluate & Document Fairness,"Fairness and bias – as
identified in the Map
function – are evaluated
and results are
documented.",Barrett2024,1.2 Risk Management
A0685_Barrett2024,Track Emergent AI Risks,"Approaches, personnel,
and documentation
are in place to regularly
identify and track
existing, unanticipated,
and emergent AI risks
based on factors
such as intended and
actual performance in
deployed contexts.",Barrett2024,1.2 Risk Management
A0686_Barrett2024,Consider Alternatives for Hard-to-Measure Risks,"Risk tracking approaches
are considered for
settings where AI
risks are difficult to
assess using currently
available measurement
techniques or where
metrics are not yet
available.",Barrett2024,1.2 Risk Management
A0688_Barrett2024,Align Risk Metrics with Context  ,"Measurement approach-
es for identifying AI
risks are connected to
deployment context(s)
and informed through
consultation with do-
main experts and other
end users. Approaches
are documented.",Barrett2024,1.2 Risk Management
A0692_Barrett2024,Prioritize Risk Treatment,"Treatment of
documented AI risks
is prioritized based on
impact, likelihood, and
available resources or
methods.",Barrett2024,1.2 Risk Management
A0693_Barrett2024,Plan & Document Risk Responses  ,"Responses to the AI
risks deemed high
priority, as identified by
the Map function, are
developed, planned,
and documented. Risk
response options can
include mitigating,
transferring, avoiding,
or accepting.",Barrett2024,1.2 Risk Management
A0694_Barrett2024,Document Residual Risks  ,"Negative residual risks
(defined as the sum
of all
unmitigated risks)
to both downstream
acquirers of AI systems
and end users are
documented.",Barrett2024,1.2 Risk Management
A0695_Barrett2024,Consider Resources & Alternatives  ,"Resources required
to manage AI risks are
taken into account
– along with viable
non-AI alternative
systems, approaches,
or methods – to reduce
the magnitude or
likelihood of
potential impacts.",Barrett2024,1.2 Risk Management
A0699_Barrett2024,Monitor Third-Party Risks  ,"AI risks and benefits
from third-party
resources are regularly
monitored, and risk
controls are applied and
documented.",Barrett2024,1.2 Risk Management
A0726_NIST2024,Information Security,"Document trade-offs, decision processes, and relevant measurement and
feedback results for risks that do not surpass organizational risk tolerance, for
example, in the context of model release: Consider different approaches for
model release, for example, leveraging a staged release approach. Consider
release approaches in the context of the model and its projected use cases.
Mitigate, transfer, or avoid risks that surpass organizational risk tolerances.",NIST2024,1.2 Risk Management
A0742_NIST2024,Value Chain and Component Integration; Intellectual Property,"Apply organizational risk tolerances and controls (e.g., acquisition and
procurement processes; assessing personnel credentials and qualifications,
performing background checks; filtering GAI input and outputs, grounding, fine
tuning, retrieval-augmented generation) to third-party GAI resources: Apply
organizational risk tolerance to the utilization of third-party datasets and other
GAI resources; Apply organizational risk tolerances to fine-tuned third-party
models; Apply organizational risk tolerance to existing third-party models
adapted to a new domain; Reassess risk measurements after fine-tuning thirdparty GAI models",NIST2024,1.2 Risk Management
A0751_NIST2024,Information Integrity; Harmful Bias and Homogenization,"Collaborate with external researchers, industry experts, and community
representatives to maintain awareness of emerging best practices and
technologies in measuring and managing identified risks.",NIST2024,1.2 Risk Management
A0764_UK Government2023,Rigorous Risk Assessment Processes,"Develop rigorous risk assessment processes for models, which: 1) Attempt to encompass all plausible and consequential risks from AI systems, including low-probability risks of severe harm; 2) Are informed by factors including, but not limited to: Model evaluations and red teaming, evidence of previous models' impacts and capabilities, knowledge of the latest research and developments in the field, domain expertise both internally and externally, and the results of data input audits. Take into account the difficulty of producing reliable risk assessments, creating a culture that takes seriously the significant uncertainty underlying predictions of the risks associated with frontier models. Take into account the potential benefits of the model. Include learnings from information exchanges with industry, academia and government on the capabilities of comparable models
",UK Government2023,1.2 Risk Management
A0765_UK Government2023,Pre-Deployment Risk Assessments ,"Devote resources to pre-development risk assessments, alongside prioritising pre- deployment risk assessments. Pre-development risk assessments are also important, because training a high-risk system can still lead to harm if the model is leaked, stolen, or otherwise unintentionally distributed.",UK Government2023,1.2 Risk Management
A0766_UK Government2023,Development and Post-Deployment Monitoring,"Monitor systems both during development and after deployment. New risk assessments could be carried out in cases of fine-tuning or other substantial changes that could increase the danger of a model, such as the model gaining access to tools or plugins. This could occur alongside attempts to detect unexpected developments and new information that might have changed the results of the existing risk assessment, and which could also trigger a new risk assessment.",UK Government2023,1.2 Risk Management
A0767_UK Government2023,Risk Thresholds for Specific Models ,"Describe and continually refine risk assessment results for each model (“risk thresholds”) that would trigger particular risk-reducing actions, defining such results in terms of risk to all relevant stakeholders given currently existing mitigations. Given the high uncertainty around future model capabilities, risk thresholds may be refined periodically.",UK Government2023,1.2 Risk Management
A0768_UK Government2023,Defining Risk Thresholds ,"Define risk thresholds, based on the outcomes that would constitute a breach of the threshold and linked to dangerous capabilities that a given model or combination of models could exhibit. For example, a frontier AI organisation might identify the objective of avoiding deploying an AI system that significantly increases the risk of cyberattacks or fraud.",UK Government2023,1.2 Risk Management
