label,short_name,fund_usd,fund_share,fund_n_grants,fund_n_low_confidence,fund_usd_coefficient,fund_usd_eafunds,fund_usd_fli,fund_usd_manifund,fund_usd_sff,delphi_bau_pct,delphi_bau_se,delphi_pm_pct,delphi_pm_se,delphi_reduction_pp,delphi_reduction_se,delphi_n_experts,delphi_bau_point_rank,delphi_bau_rank_p05,delphi_bau_rank_p95,delphi_reduction_point_rank,delphi_reduction_rank_p05,delphi_reduction_rank_p95,delphi_concern_pct,delphi_concern_pct_balanced,delphi_concern_pct_insiders,delphi_concern_pct_outsiders
5.1,Overreliance & unsafe use,1256887.0,0.001592223273938099,6,1,115887.0,80000.0,555000.0,0.0,506000.0,10.69746835443038,1.5783435524725782,6.950632911392406,1.1596033320736527,3.7468354430379747,0.7533799969528172,79.0,17.0,11.0,22.0,18.0,12.0,22.0,17.61904761904762,15.392156862745098,22.54901960784314,8.235294117647058
5.2,Loss of human agency,100000.0,0.00012667990630327937,1,0,0.0,0.0,0.0,100000.0,0.0,11.458823529411765,1.6648914586113401,6.670588235294118,1.25249199612712,4.788235294117647,0.9528218620190624,85.0,15.0,9.0,21.0,14.0,8.0,20.0,18.095238095238095,14.765959815216787,19.469026548672566,10.062893081761008
6.1,Power centralization,5409841.0,0.006853181509956392,16,1,0.0,10000.0,4308571.0,453270.0,638000.0,17.971698113207548,3.2496626791100423,11.433962264150944,2.619219661593226,6.537735849056604,1.0603906584087077,53.0,3.0,1.0,12.0,7.0,3.0,14.0,23.809523809523807,22.971019480966476,32.87671232876712,13.06532663316583
6.2,Inequality & unemployment,5579992.0,0.007068728637330485,12,2,4849683.0,0.0,705564.0,24745.0,0.0,17.094186046511627,3.5767120091668083,10.930697674418605,2.568696650074718,6.163488372093022,1.532134993854405,43.0,4.0,1.0,14.0,8.0,3.0,17.0,7.6190476190476195,8.994708994708994,14.285714285714285,3.7037037037037033
6.3,Devaluation of human creativity,305000.0,0.00038637371422500213,2,1,0.0,0.0,300000.0,5000.0,0.0,9.47,2.158006476826005,6.003333333333333,1.6479906492685656,3.466666666666667,1.118016853998076,30.0,21.0,11.0,24.0,21.0,11.0,24.0,4.761904761904762,5.173688100517369,7.317073170731707,3.0303030303030303
6.4,Competitive dynamics,13538221.0,0.017150205677930894,18,1,11484325.0,17000.0,800000.0,232896.0,1004000.0,16.609756097560975,2.4840658176299737,7.304878048780488,1.2367441087314126,9.304878048780488,1.581994539241262,41.0,7.0,2.0,12.0,1.0,1.0,6.0,7.142857142857142,6.711546307629538,8.771929824561402,4.651162790697675
6.5,Governance failure,179194514.24,0.22700344273984863,144,4,160501640.0,513643.24,1088114.0,675117.0,16416000.0,14.422413793103448,1.4216230594812114,7.256896551724138,1.0588629471449449,7.165517241379311,0.9146714400541807,116.0,9.0,5.0,14.0,5.0,3.0,11.0,11.428571428571429,8.337425656135757,13.422818791946309,3.2520325203252036
6.6,Environmental harm,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,17.08695652173913,4.935918623920923,11.782608695652174,4.9339336909765095,5.304347826086956,1.8258516693892322,23.0,5.0,1.0,19.0,13.0,3.0,22.0,2.857142857142857,5.619834710743802,10.0,1.2396694214876034
7.1,AI misalignment,71976322.83,0.09117953832158988,125,10,66040779.0,1094101.83,0.0,1214442.0,3627000.0,16.61764705882353,2.1873337801405497,8.864705882352942,1.3706453384913835,7.752941176470588,1.3553407049260326,85.0,6.0,3.0,11.0,4.0,1.0,11.0,18.095238095238095,15.491071428571429,24.107142857142858,6.875000000000001
7.2,Dangerous capabilities,64667600.0,0.08192085508857949,87,5,60290776.0,516779.0,0.0,1138045.0,2722000.0,21.50625,2.474673833354073,12.3,1.9555301330498134,9.20625,1.506727890469185,80.0,1.0,1.0,5.0,2.0,1.0,6.0,21.904761904761905,19.181914834088747,31.53153153153153,6.832298136645963
7.3,Capability & robustness,17902910.0,0.022679389613560433,25,4,17700051.0,23100.0,0.0,179759.0,0.0,10.685365853658537,1.7055766282705678,7.030609756097561,1.4729843233548587,3.6547560975609756,1.1670209969814842,82.0,18.0,10.0,22.0,19.0,11.0,23.0,6.190476190476191,5.450102295976358,8.49056603773585,2.4096385542168677
7.4,Transparency & interpretability,33814044.55,0.042835599953289144,108,4,30451258.0,2039184.5,0.0,497602.05,826000.0,7.514414414414414,1.053687294880246,4.780180180180181,0.858111386254731,2.734234234234234,0.6143406278572406,111.0,24.0,20.0,24.0,23.0,17.0,24.0,9.523809523809524,7.291610320765943,10.071942446043165,4.511278195488721
7.5,AI welfare,54539.0,6.908995409874554e-05,4,0,0.0,0.0,0.0,54539.0,0.0,10.057142857142857,3.2513585672781775,5.885714285714286,2.8446533745130442,4.171428571428572,1.3893264883519982,35.0,19.0,7.0,24.0,15.0,8.0,23.0,1.9047619047619049,4.060746120831958,7.6923076923076925,0.4291845493562232
7.6,Multi-agent risks,5632001.77,0.007134614565235036,16,0,4501964.0,12600.0,0.0,147437.77000000002,970000.0,12.164383561643836,1.7043696302789637,6.3493150684931505,1.1126044207107262,5.815068493150685,1.3990479357251895,73.0,13.0,8.0,20.0,11.0,3.0,17.0,8.571428571428571,8.385895356520694,13.978494623655912,2.793296089385475
field,(field-building: talent & community),234283199.444,0.2967897375399844,204,8,220123105.0,1428514.33,3929000.0,1407080.114,7395500.0,,,,,,,,,,,,,,,,,
cross,"(cross-cutting AI-safety work, no single subdomain)",103767825.0,0.13145298348295092,143,38,84592308.0,685254.0,6215326.0,749987.0,11524950.0,,,,,,,,,,,,,,,,,
not_ai,(not AI risk),5165228.0,0.0065433059907507515,30,2,510000.0,230139.0,0.0,7089.0,4418000.0,,,,,,,,,,,,,,,,,
unknown,(unknown),2269273.0,0.002874712910165617,13,13,0.0,27273.0,0.0,0.0,2242000.0,,,,,,,,,,,,,,,,,
